l1_size,l2_size,noc_bw,offchip_bw,dim_num,dim_out,dim_mid,dim_in,p_c,p_k,p_x,p_y,p_r,p_s,o_c_out_0,o_k_out_0,o_x_out_0,o_y_out_0,o_r_out_0,o_s_out_0,o_c_mid_0,o_k_mid_0,o_x_mid_0,o_y_mid_0,o_r_mid_0,o_s_mid_0,o_c_in_0,o_k_in_0,o_x_in_0,o_y_in_0,o_r_in_0,o_s_in_0,t_c_d1_0,t_c_d2_0,t_c_d3_0,t_k_d1_0,t_k_d2_0,t_k_d3_0,t_x_d1_0,t_x_d2_0,t_x_d3_0,t_y_d1_0,t_y_d2_0,t_y_d3_0,o_c_out_1,o_k_out_1,o_x_out_1,o_y_out_1,o_r_out_1,o_s_out_1,o_c_mid_1,o_k_mid_1,o_x_mid_1,o_y_mid_1,o_r_mid_1,o_s_mid_1,o_c_in_1,o_k_in_1,o_x_in_1,o_y_in_1,o_r_in_1,o_s_in_1,t_c_d1_1,t_c_d2_1,t_c_d3_1,t_k_d1_1,t_k_d2_1,t_k_d3_1,t_x_d1_1,t_x_d2_1,t_x_d3_1,t_y_d1_1,t_y_d2_1,t_y_d3_1,latency,energy,area,power,cnt_pes,l1_mem,l2_mem,edp,pe_util,noc_bw_req,l1_mem_req,l2_mem_req
4096.0,2048000.0,256.0,64.0,3.0,38.0,14.0,42.0,4.0,2.0,2.0,6.0,6.0,1.0,4.0,1.0,4.0,3.0,6.0,4.0,1.0,6.0,3.0,6.0,3.0,6.0,3.0,3.0,3.0,5.0,1.0,5.0,1024.0,32.0,1.0,32.0,128.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,6.0,1.0,1.0,5.0,4.0,4.0,6.0,3.0,5.0,2.0,5.0,4.0,6.0,1.0,2.0,5.0,6.0,5.0,512.0,4096.0,1.0,512.0,1024.0,1.0,1.0,1.0,1.0,10.0,320.0,1.0,519836716.0,32505602.8,263018000000.0,337.1721111111111,22344.0,10.0,11665408.0,1.6897605811152406e+16,249.43588888888885,1.8402755555555557,10.0,6728362.666666667
4096.0,64000.0,256.0,64.0,2.0,44.0,18.0,34.0,5.0,3.0,6.0,2.0,6.0,1.0,1.0,1.0,6.0,2.0,3.0,5.0,5.0,5.0,4.0,6.0,1.0,1.0,3.0,6.0,4.0,6.0,5.0,1.0,1024.0,512.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,4.0,1.0,1.0,2.0,2.0,5.0,1.0,6.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,5.0,4.0,3.0,64.0,1024.0,1.0,64.0,64.0,1.0,1.0,1.0,1.0,1.0,32.0,1.0,24434278509.0,90319980.0,426972000.0,2.799428888888889,612.0,10.0,8704.0,2.2069035462473098e+18,1.0,0.5043126666666667,10.0,6202.666666666667
256000.0,4096000.0,256.0,64.0,3.0,30.0,28.0,34.0,4.0,1.0,2.0,2.0,2.0,5.0,5.0,2.0,3.0,2.0,2.0,5.0,6.0,1.0,6.0,6.0,3.0,3.0,1.0,3.0,3.0,5.0,5.0,5.0,32.0,2048.0,1.0,128.0,16.0,1.0,1.0,1.0,1.0,16.0,64.0,1.0,4.0,4.0,6.0,4.0,3.0,1.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0,3.0,1.0,3.0,5.0,6.0,8.0,32.0,1.0,96.0,512.0,1.0,1.0,1.0,1.0,64.0,64.0,1.0,5235050344.0,35362684.7,426657000000.0,480.50722222222225,28560.0,10.0,802816.0,1.8512543470349856e+17,11.70368888888889,0.15219888888888888,10.0,413696.0
1024000.0,8192000.0,256.0,64.0,1.0,12.0,46.0,16.0,2.0,5.0,5.0,5.0,6.0,6.0,4.0,6.0,1.0,1.0,2.0,3.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,4.0,3.0,3.0,128.0,256.0,1.0,256.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,6.0,6.0,6.0,4.0,3.0,1.0,2.0,6.0,6.0,6.0,3.0,3.0,1.0,6.0,3.0,3.0,2.0,8.0,1.0,2.0,32.0,1.0,1.0,1.0,1.0,40.0,10.0,1.0,24427626505.0,209657100.0,7027210.0,0.07444540000000001,16.0,10.0,10.0,5.121425332921435e+18,1.0,1.0000888888888888,10.0,10.0
8192.0,16000.0,256.0,64.0,2.0,42.0,4.0,24.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,1.0,5.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,5.0,5.0,2.0,5.0,6.0,1.0,3.0,4096.0,4.0,1.0,8.0,64.0,1.0,1.0,1.0,1.0,2.0,32.0,1.0,6.0,2.0,6.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,6.0,1.0,2.0,4.0,128.0,256.0,1.0,64.0,192.0,1.0,1.0,1.0,1.0,160.0,20.0,1.0,1547821270.0,54328200.0,42361500.0,0.4653433333333334,96.0,10.0,24064.0,8.4090343520814e+16,15.40738888888889,2.5588366666666666,10.0,13418.666666666666
16000.0,8192000.0,256.0,64.0,3.0,6.0,36.0,2.0,1.0,4.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,5.0,6.0,1.0,5.0,4.0,6.0,5.0,6.0,3.0,1.0,6.0,2.0,6.0,4.0,6.0,512.0,1.0,1.0,1.0,1024.0,1.0,1.0,1.0,1.0,8.0,4.0,1.0,5.0,3.0,6.0,2.0,4.0,1.0,2.0,5.0,6.0,4.0,1.0,2.0,5.0,2.0,1.0,6.0,3.0,2.0,4096.0,4.0,1.0,1024.0,768.0,1.0,1.0,1.0,1.0,320.0,80.0,1.0,15251716430.0,34726041.0,263197000.0,25.932837777777774,432.0,10.0,11665408.0,5.296317300685536e+17,16.804577777777777,1.47396,10.0,6957738.666666667
2048.0,2048000.0,256.0,64.0,2.0,40.0,34.0,42.0,5.0,1.0,2.0,5.0,4.0,2.0,1.0,5.0,5.0,3.0,4.0,2.0,5.0,4.0,2.0,2.0,6.0,4.0,6.0,3.0,6.0,5.0,4.0,5.0,512.0,1024.0,1.0,1024.0,256.0,1.0,1.0,1.0,1.0,64.0,4.0,1.0,6.0,5.0,2.0,1.0,1.0,2.0,5.0,3.0,5.0,2.0,4.0,2.0,5.0,3.0,3.0,5.0,4.0,5.0,128.0,4.0,1.0,32.0,1024.0,1.0,1.0,1.0,1.0,320.0,2.0,1.0,880318815.0,36029579.7,1589310000.0,10.2717,1428.0,10.0,2131968.0,3.171751690645206e+16,25.46238888888889,0.7051693333333333,10.0,952750.2222222222
1024.0,128000.0,256.0,64.0,3.0,36.0,6.0,16.0,6.0,1.0,6.0,4.0,2.0,4.0,3.0,6.0,6.0,2.0,5.0,2.0,1.0,1.0,5.0,5.0,2.0,3.0,5.0,5.0,6.0,4.0,5.0,1.0,1024.0,1024.0,1.0,128.0,2048.0,1.0,1.0,1.0,1.0,8.0,2.0,1.0,5.0,3.0,5.0,1.0,3.0,2.0,4.0,4.0,2.0,4.0,1.0,6.0,2.0,2.0,6.0,1.0,2.0,4.0,4.0,64.0,1.0,6.0,96.0,1.0,1.0,1.0,1.0,1.0,40.0,1.0,1716172264.0,33329491.8,7418290000.0,47.058166666666665,3456.0,10.0,16875520.0,5.719914940037544e+16,19.555555555555557,0.20833333333333334,10.0,7852657.777777778
1024.0,16000000.0,256.0,64.0,2.0,16.0,38.0,36.0,6.0,4.0,1.0,3.0,6.0,6.0,6.0,2.0,2.0,3.0,6.0,6.0,4.0,5.0,6.0,3.0,2.0,5.0,3.0,3.0,5.0,4.0,4.0,1.0,2048.0,16.0,1.0,32.0,1.0,1.0,1.0,1.0,1.0,64.0,16.0,1.0,2.0,6.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,6.0,2.0,1.0,4.0,1.0,5.0,5.0,512.0,256.0,1.0,128.0,64.0,1.0,1.0,1.0,1.0,320.0,80.0,1.0,1376203108.0,53028080.0,1480650000.0,8.967866666666668,1368.0,10.0,1189888.0,7.297740850727264e+16,25.142844444444442,16.12399333333333,10.0,670250.6666666666
256.0,256000.0,256.0,64.0,2.0,16.0,28.0,42.0,1.0,3.0,5.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,6.0,6.0,3.0,2.0,3.0,5.0,4.0,1.0,6.0,1.0,3.0,6.0,5.0,4096.0,4.0,1.0,1024.0,512.0,1.0,1.0,1.0,1.0,128.0,4.0,1.0,2.0,6.0,3.0,6.0,2.0,2.0,6.0,6.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,3.0,3.0,6.0,1024.0,1024.0,1.0,2.0,256.0,1.0,1.0,1.0,1.0,40.0,64.0,1.0,10176152428.0,77573110.0,1157780000.0,5.8011011111111115,1176.0,10.0,86176.0,7.893957916740111e+17,18.615377777777777,4.844952222222222,10.0,51530.666666666664
